replicate	UMAP_dim	cluster_num	tot_withinss	silhouette	gap_stat
6	3	5	125.30212791422812	0.48403602866400075	0.3734161562733451
6	3	6	105.97317613157158	0.49763800545070863	0.3662771115955672
6	3	7	89.6218897335023	0.4471184319182415	0.39678755591849857
6	3	8	79.05390823735726	0.36280038075808785	0.4234550898298748
6	3	9	72.62980387602019	0.3598220840231711	0.42153365760854733
6	3	10	65.58824213229097	0.3773671715854617	0.4829187702519455
6	4	1	1650.275585954461	NA	-0.026383878304417685
6	4	2	332.62804173861576	0.6874467209944504	0.2896352981990242
6	4	3	193.9067772896568	0.5563043635427869	0.3897474831466061
6	4	4	144.68378063541087	0.49279060323937524	0.44406214152632995
6	4	5	123.81290692893634	0.43080712440660207	0.4800928929485653
6	4	6	105.07629979647581	0.4279499021364192	0.47137457944777994
6	4	7	88.53264494612083	0.4448930368790393	0.33907493405602196
6	4	8	80.79388851739655	0.3306024121002869	0.3333513312877239
6	4	9	72.87643485994872	0.4251636270912937	0.5008252714956458
6	4	10	66.89667160878369	0.3365200905586661	0.4214874963688211
7	2	1	3380.781257249137	NA	-0.04000557147752826
7	2	2	647.7813825436285	0.6994478292209632	0.25436545123932675
7	2	3	280.9701922987927	0.659381869301741	0.3677953660172637
7	2	4	202.9301691486702	0.5972592832969903	0.3989584858465678
7	2	5	140.65113124476233	0.5762340987132709	0.46404752656089476
7	2	6	116.51093187842908	0.43487620746118827	0.44622030853566663
7	2	7	98.81812287287563	0.4308919436002559	0.4786448045424496
7	2	8	84.67527917798114	0.4394654825791887	0.45099103928129924
7	2	9	73.10539702805188	0.4441122675879901	0.4212740584853676
7	2	10	63.034243515830546	0.4331049704338677	0.4830527502824564
7	3	1	1533.4333475997921	NA	0.02462674431133305
7	3	2	379.35510924282414	0.6385874062750613	0.2060647359531007
7	3	3	198.6517672132992	0.5583886955880573	0.31931262050260134
7	3	4	159.95005744917822	0.4794528379956321	0.280975598233006
7	3	5	134.48588887022268	0.5039537102456321	0.3435688973931734
7	3	6	112.37012973749246	0.43576187928570503	0.3329564539945964
7	3	7	96.65758017522515	0.44915122747800973	0.3826949902774883
7	3	8	85.24486205330189	0.35137450338484616	0.4093103035818646
7	3	9	75.01700199842179	0.3598264544048548	0.20577355313303958
7	3	10	69.02048958029046	0.35350328803270803	0.43178381383865805
7	4	1	1549.2093181919633	NA	-0.04153528247941196
7	4	2	341.79205758136163	0.6730333768425659	0.23703580450246253
7	4	3	184.34593436189306	0.5602677035477953	0.36694192898323674
7	4	4	154.95026141463262	0.469150597236967	0.37600699099897206
7	4	5	127.5984558511615	0.4703351793398764	0.3704379332108223
7	4	6	107.86767075812443	0.49548227410598206	0.4060588293029581
7	4	7	91.46174811559038	0.43939319690238665	0.4045547668201803
7	4	8	83.37939033854916	0.3306169584987946	0.45247808502866693
7	4	9	72.09970836638843	0.3490527581587154	0.30260374060104533
7	4	10	65.42608178091912	0.3469677978700326	0.4045311226831183
8	2	1	3281.2314439629827	NA	-0.1287362685065423
8	2	2	520.5218698115971	0.7345777751323733	0.1784038899720386
8	2	3	250.42516858139507	0.6357838444861668	0.25489223578119
8	2	4	191.91172769377948	0.5334750222735308	0.22521244287953035
8	2	5	152.5269573729308	0.4421598887721901	0.20288157331321788
8	2	6	114.44672034779819	0.47819027331977987	0.18062272310980498
8	2	7	92.5481500329909	0.49655946111440524	0.22484936447054604
8	2	8	75.96641500221396	0.43996912789051185	0.18988472934432776
8	2	9	65.44773465158805	0.4389389015991075	0.2946291521010336
8	2	10	57.259527501953286	0.4342769608786744	0.2439076322475584
8	3	1	1755.0292856451213	NA	-0.024609251118598685
8	3	2	350.7357544193276	0.6895050478909481	0.22716639589342602
8	3	3	192.90457114342172	0.5747500523441206	0.30540874458990963
8	3	4	149.1519651869185	0.49283488027080924	0.31683105209282214
8	3	5	127.75049905841334	0.49498366454024906	0.32142524925486704
8	3	6	110.57088465647006	0.43699225594060925	0.28632425142758855
8	3	7	90.86703904054832	0.46920100147232713	0.2990170555607632
8	3	8	80.37440500424137	0.3607464486136904	0.3488555211983133
8	3	9	71.80239475378788	0.3565681174633474	0.3262132716681734
8	3	10	64.60484118615153	0.37444839948970293	0.32884437670602384
8	4	1	1431.563892671492	NA	0.020119832879466948
8	4	2	333.21681203978795	0.6598862968497773	0.27362502825122714
8	4	3	182.9706438465387	0.5551229931846078	0.39964199934479794
8	4	4	147.83415389330494	0.4772640766226816	0.371340986803542
8	4	5	124.47603558236767	0.46004209245585	0.4004106354201431
8	4	6	104.6470533238459	0.4855493513429365	0.3937750775038191
8	4	7	92.92455356658238	0.3407439851728805	0.37892696281608895
8	4	8	81.74903712463079	0.42895954387869883	0.5343977788089056
8	4	9	73.82504050090736	0.3444933546812904	0.5521590648268075
8	4	10	68.70228331743631	0.3364820186093353	0.5159017481304358
9	2	1	2673.6278454115895	NA	-0.03027750450717903
9	2	2	631.805275083015	0.6656316379327825	0.1731882861038292
9	2	3	249.3516776134648	0.6359708093631955	0.3734384303206655
